# time Temperature 
1 300
2 300
3 300.077
4 300.665
5 302.213
6 304.799
7 308.255
8 312.345
9 316.854
10 321.606
11 326.468
12 331.346
13 336.172
14 340.899
15 345.496
16 349.945
17 354.235
18 358.36
19 362.32
20 366.116
21 369.754
22 373.237
23 376.572
24 379.767
25 382.826
26 385.758
27 388.569
28 391.265
